SKU,committed,totalLocationsQuantity
CR-CAP-FA-Green-Free Size,13,72
RAMO-TP212S-Black-S,0,0
LW-W05-Purple-L,0,5
CR-V22-White-XL,16,2564
CR-V22-Aqua-XL,0,218
CR-V22-Pink-M,0,557
CR-V32-High-Vis-Yellow-3XL,25,109
CR-V33-High-Vis-Yellow-S,0,87
CR-V22-Light-Blue-2XL,0,25
CR-V22-Bottle-Green-7XL,0,50
CR-V22-Sun-Yellow-L,2,106
CR-V35-High-Vis-Orange-L,0,139
CR-V22-Purple-S,0,135
CR-F51-High-Vis-Yellow-/-Navy-2XL,0,80
CR-P41-Black-/-Grey-M,0,50
CR-P31-High-Vis-Orange-/-Navy-3XL,0,149
CR-P41-White-/-Grey-XL,0,44
CR-P36-High-Vis-Yellow-/-Navy-M,0,250
CR-V22-Bottle-Green-M,0,250
CR-P21-High-Vis-Yellow-/-Navy-L,0,625
CR-V22-Aqua-L,0,332
CR-P31-High-Vis-Yellow-/-Navy-XL,0,450
CR-V22-High-Vis-Orange-3XL,4,178
CR-P41-High-Vis-Yellow-/-Navy-2XL,0,50
CR-T21-High-Vis-Yellow-XS,0,0
CR-P41-High-Vis-Yellow-/-Navy-S,0,50
CR-V52-High-Vis-Yellow-2XL,0,495
CR-P41-High-Vis-Yellow-/-Navy-M,0,50
CR-V52-High-Vis-Orange-XL,4,465
CR-V32-High-Vis-Orange-5XL,0,195
CR-T21-High-Vis-Yellow-5XL,0,250
gv-hvp26-High-Vis-Yellow-Navy-XL,0,84
CR-P31-High-Vis-Yellow-/-Navy-S,0,250
CR-V32-High-Vis-Orange-M,42,626
CR-F41-High-Vis-Yellow-/-Navy-5XL,0,50
CR-V22-Black-XL,0,274
CR-HVS462-High-Vis-Orange-/-Navy-2XL,0,50
CR-V32P-High-Vis-Yellow-XL,6,29
JB-6HFV-Aqua-3XL,0,10
CR-V22-Sun-Yellow-7XL,0,50
CR-V34-High-Vis-Orange-/-Navy-M,0,196
CR-V52-High-Vis-Orange-M,0,476
CR-V22-Red-XS,0,198
gv-hvp26-High-Vis-Yellow-Navy-S,0,96
CR-V33-High-Vis-Yellow-3XL,0,50
BL-T28-Heather-Grey-L,0,0
CR-P26-High-Vis-Yellow-Navy-3XL,0,160
CR-V10-High-Vis-Orange-2,0,200
CR-P36-High-Vis-Yellow-/-Navy-7XL,0,100
CR-V22-Pink-XS,0,213
CR-P21-High-Vis-Orange-/-Navy-L,10,759
CR-V22P-High-Vis-Orange-L,0,15
CR-V22-Royal-XS,0,96
RM-T111HD-Black-3XL,0,0
gv-hvp26-High-Vis-Yellow-Navy-2XL,0,100
CR-F41-High-Vis-Orange-/-Navy-XL,0,80
CR-V22-High-Vis-Yellow-2XL,0,592
CR-V33-High-Vis-Orange-7XL,0,0
CR-V32-High-Vis-Orange-7XL,0,235
CR-F22-High-Vis-Orange-/-Navy-M,0,85
CR-P41-High-Vis-Yellow-/-Pink-XL,0,50
